Date,Time,Month,epoch_format,zigduino-3:humidity,zigduino-3:temperature,zigduino-4:humidity,zigduino-4:temperature
2020-01-22,02:00:00,1,1579658400000.0,5.875226194299484,19.80752835920557,1.0,22.146277359868986
2020-01-22,04:00:00,1,1579665600000.0,5.768784114980477,20.107446331109227,1.0,22.97757680585618
2020-01-22,06:00:00,1,1579672800000.0,5.802229721003537,20.402229328340077,1.0,23.51156921210187
2020-01-22,08:00:00,1,1579680000000.0,5.858182557049448,20.76348325370689,1.0,23.9813629923922
2020-01-22,10:00:00,1,1579687200000.0,6.129448903324126,20.882372290836347,1.0,23.999032386070446
2020-01-22,12:00:00,1,1579694400000.0,5.959318435237244,21.284644364006738,1.0,24.035801389611564
2020-01-22,14:00:00,1,1579701600000.0,5.48666384905188,21.126714764195025,1.0,24.29360398096509
2020-01-22,16:00:00,1,1579708800000.0,4.649263752875932,21.139419966502302,1.0,24.439335403795447
2020-01-22,18:00:00,1,1579716000000.0,4.818174199291674,20.55056790057781,1.0,23.04907433907425
2020-01-22,20:00:00,1,1579723200000.0,5.069331023489471,20.186411572345225,1.0,22.64437451688524
2020-01-22,22:00:00,1,1579730400000.0,5.0765929868920745,19.990620363799053,1.0,22.413798577353187
2020-01-23,00:00:00,1,1579737600000.0,4.995246113073841,19.831404725693837,1.0,22.23155250838187
2020-01-23,02:00:00,1,1579744800000.0,4.896823825784025,19.68533923919832,1.0,22.10589018096731
2020-01-23,04:00:00,1,1579752000000.0,4.569499399865632,19.98203646259043,1.0,22.937371303506204
2020-01-23,06:00:00,1,1579759200000.0,4.267122420835355,20.2861381213004,1.0,23.515271122635134
2020-01-23,08:00:00,1,1579766400000.0,3.85046274625909,20.7945312480742,1.0,23.88466246043309
2020-01-23,10:00:00,1,1579773600000.0,3.4106226263299027,21.23087908472391,1.0,23.89633959143113
2020-01-23,12:00:00,1,1579780800000.0,3.993899874041248,21.15599469853691,1.0,23.94114408224232
2020-01-23,14:00:00,1,1579788000000.0,4.531447231644184,21.27263337882768,1.0,24.102356289232485
2020-01-23,16:00:00,1,1579795200000.0,5.238052111390162,21.395750792426725,1.0,24.09793863308545
2020-01-23,18:00:00,1,1579802400000.0,5.242069784713283,20.534980920768355,1.0,22.91064348088426
2020-01-23,20:00:00,1,1579809600000.0,5.2424695011342735,20.131321460497595,1.0,22.538115416748663
2020-01-23,22:00:00,1,1579816800000.0,5.511379879765717,19.94419414976037,1.0,22.36582493586495
